product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
176,Наволочки,1647.0,335,Товары для дома,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",2010-01-16,2010-01-16,4.07,Available for Pickup
177,Каша из дробленной кукурузной крупы,7383.0,457,Бакалея,Отличается низкой калорийностью и высоким содержанием белка.,1997-04-03,1997-04-03,3.89,Pending
178,Российский сыр,9895.0,733,Молочные продукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2009-02-01,2009-02-01,0.8,Delivered
179,Черника,1730.0,768,Фрукты,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2020-01-10,2020-01-10,1.86,New
180,Редис,2353.0,279,Овощи,Придает блюдам особую нежность и насыщенность.,2027-01-03,2027-01-03,2.82,Cancelled
181,Мороженое,3198.0,997,Молочные продукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2024-02-01,2024-02-01,0.87,New
182,Полотенца кухонные,304.0,152,Товары для дома,Помогает поддерживать нормальный уровень сахара в крови.,2005-01-11,2005-01-11,4.03,Delivered
183,Рулька,5896.0,266,Мясо,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2013-01-04,2013-01-04,0.59,In Stock
184,Подушки,1861.0,571,Товары для дома,"Помогает поддерживать нормальный уровень мелатонина, гормона сна.",2022-01-15,2022-01-15,0.84,New
185,Сардельки,1101.0,530,Мясо,Помогает поддерживать нормальный уровень гомоцистеина в крови.,1997-02-02,1997-02-02,4.69,Awaiting Review
