name;rating;convenience;security;functionality;comment 
Улей 22;3.5;1;3;4;Это здание прекрасно вписывается в окружающий ландшафт.
Замок 37;1.6;4;2;2;Это здание представляет собой типичный образец современной архитектуры.
Волчатник 12;4.8;4;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Шале 14;4.1;4;1;4;У этого здания отличная архитектура.
Кошара 23;3.9;3;5;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Борть 76;0.4;5;4;1;Это здание построено из стандартных строительных материалов.
Замок 98;5.0;1;3;1;Это здание имеет стандартную конструкцию.
Тоннель 98;1.2;1;5;5;Это здание прекрасно вписывается в окружающий ландшафт.
Ламарий 52;0.6;5;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Осатаник 47;1.0;5;4;4;Это здание не имеет особых архитектурных особенностей.
Стадион 80;2.9;4;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Бункер 43;4.7;4;5;4;У этого здания отличная архитектура.
Ферма 51;0.2;4;4;1;Это здание представляет собой типичный образец современной архитектуры.
Нора 65;1.1;1;1;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Лестница 82;3.3;1;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Борть 76;2.1;2;1;3;Это здание построено из стандартных строительных материалов.
Автомойка 15;3.0;3;4;2;Это здание построено из стандартных строительных материалов.
Мост 68;4.1;1;2;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Плантация 78;4.0;3;2;3;Это здание имеет стандартную конструкцию.
Котельная 8;1.5;4;1;1;Это здание не имеет особых архитектурных особенностей.
Лестница 82;0.3;2;5;2;Это здание имеет стандартную конструкцию.
Торговый центр 38;4.9;1;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ресторан 25;4.9;4;4;1;Это здание не имеет особых архитектурных особенностей.
Ресторан 93;1.3;2;2;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Йодль 71;2.6;2;1;5;Это здание представляет собой типичный образец современной архитектуры.
Волчатник 12;4.5;3;1;3;Это здание представляет собой типичный образец современной архитектуры.
Ангар 74;2.5;4;2;4;Это здание имеет стандартную конструкцию.
Нора 65;3.4;2;4;2;Это здание имеет стандартную конструкцию.
Автомойка 19;3.0;5;5;5;Мне нравится дизайн этого здания.
Ламарий 52;2.2;4;4;1;Это здание является примером функционального дизайна.
Кошара 23;5.0;3;4;3;Это здание имеет стандартную конструкцию.
Нора 2;2.0;2;3;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Автомойка 15;3.9;1;3;3;Мне нравится дизайн этого здания.
Супермаркет 7;0.1;3;2;2;Это здание не имеет особых архитектурных особенностей.
Ламарий 52;2.0;4;2;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Шале 14;4.1;5;1;5;Это здание не имеет особых архитектурных особенностей.
Плантация 78;4.0;3;3;4;У этого здания отличная архитектура.
Йодль 71;1.4;3;5;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Улей 67;4.5;2;5;1;Это здание построено из стандартных строительных материалов.
Верфь 8;3.4;3;2;2;Это здание имеет стандартную конструкцию.
Музей 93;0.4;1;2;1;Мне нравится дизайн этого здания.
Чердак 10;1.0;2;3;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Крольчатник 69;4.8;5;4;3;Это здание является примером функционального дизайна.
Торговый центр 53;4.6;5;5;2;Это здание имеет стандартную конструкцию.
Замок 98;5.0;1;5;4;Мне нравится дизайн этого здания.
Крольчатник 69;1.6;4;3;5;Это здание построено из стандартных строительных материалов.
Ресторан 25;0.7;4;3;3;Это здание не имеет особых архитектурных особенностей.
Плантация 78;3.3;1;3;1;Это здание является примером функционального дизайна.
Музей 93;0.8;1;1;4;У этого здания отличная архитектура.
Кошара 23;2.8;2;3;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Торговый центр 38;0.3;2;5;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Торговый центр 53;3.9;3;5;3;Это здание прекрасно вписывается в окружающий ландшафт.
Бомбоубежище 32;4.0;4;4;3;Это великолепное здание!
Ламарий 52;4.3;3;5;3;Это здание построено из стандартных строительных материалов.
Лежбище 18;3.1;3;3;4;Это здание построено из стандартных строительных материалов.
Бомбоубежище 32;4.1;1;2;4;Это здание является примером функционального дизайна.
Нора 65;4.0;3;3;5;Это здание имеет стандартную конструкцию.
ТЭЦ 75;3.3;5;1;2;Это здание является примером функционального дизайна.
Улей 67;2.9;4;3;3;Мне нравится дизайн этого здания.
ТЭЦ 75;3.5;2;1;4;Это здание не имеет особых архитектурных особенностей.
Музей 93;3.0;5;3;2;У этого здания отличная архитектура.
Лестница 82;1.4;1;3;3;Это здание является примером функционального дизайна.
Осатаник 47;3.8;5;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
Волчатник 12;0.2;3;5;1;Это великолепное здание!
Торговый центр 53;3.5;4;4;5;Это здание не имеет особых архитектурных особенностей.
Замок 37;5.0;5;1;1;Это здание очень функционально.
Йодль 71;3.1;3;4;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Ферма 51;0.8;5;4;5;Это здание не имеет особых архитектурных особенностей.
Замок 98;4.7;4;5;4;Это здание прекрасно вписывается в окружающий ландшафт.
 Вилла 80;1.9;2;5;1;Это здание имеет стандартную конструкцию.
 Вилла 80;2.5;4;4;4;Это здание очень функционально.
Лестница 82;0.8;1;1;2;Мне нравится дизайн этого здания.
Котельная 21;3.0;2;3;2;Это здание является примером функционального дизайна.
Кубло 55;1.4;3;5;1;Мне нравится дизайн этого здания.
Кубло 55;2.8;1;1;4;Это здание построено из стандартных строительных материалов.
Торговый центр 53;3.3;1;2;4;Это здание не имеет особых архитектурных особенностей.
Автомойка 15;1.6;2;1;5;Это великолепное здание!
Ресторан 93;1.3;2;4;1;Это здание построено из стандартных строительных материалов.
Бомбоубежище 32;1.6;1;4;4;У этого здания отличная архитектура.
Чердак 10;4.0;4;4;3;Это здание прекрасно вписывается в окружающий ландшафт.
Ресторан 93;2.5;3;3;5;Это здание не имеет особых архитектурных особенностей.
Кубло 55;2.7;1;5;4;Это здание является примером функционального дизайна.
Лестница 82;0.5;4;3;2;Мне нравится дизайн этого здания.
Торговый центр 53;4.7;4;5;1;У этого здания отличная архитектура.
Торговый центр 38;1.1;1;1;5;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Борть 76;0.5;4;3;4;Это здание представляет собой типичный образец современной архитектуры.
Замок 98;1.4;5;3;5;Это здание построено из стандартных строительных материалов.
Улей 67;2.7;2;4;3;Это здание является примером функционального дизайна.
Бункер 43;0.8;2;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Торговый центр 53;1.2;5;1;2;Это здание прекрасно вписывается в окружающий ландшафт.
Стадион 80;3.1;5;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Крольчатник 69;3.5;3;2;3;Это здание очень функционально.
Автомойка 15;1.5;5;5;2;Это здание не имеет особых архитектурных особенностей.
Усадьба 38;1.3;2;5;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лежбище 18;3.1;4;5;5;Это великолепное здание!
Ферма 51;1.8;4;1;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Борть 76;1.3;2;3;1;Это здание является примером функционального дизайна.
Нора 65;0.2;3;2;1;Это здание представляет собой типичный образец современной архитектуры.
Котельная 8;1.6;2;1;5;Это здание построено из стандартных строительных материалов.
Кошара 23;1.0;3;5;2;Это здание имеет стандартную конструкцию.
Ресторан 25;1.3;1;4;4;Это здание построено из стандартных строительных материалов.
Лежбище 18;3.5;4;1;3;Это здание не имеет особых архитектурных особенностей.
Замок 98;4.9;5;4;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Торговый центр 53;3.7;5;4;3;Это здание имеет стандартную конструкцию.
Шале 14;0.6;5;4;4;Это здание построено из стандартных строительных материалов.
Верфь 8;3.6;3;5;4;Это здание построено из стандартных строительных материалов.
Особняк 50;3.1;3;5;2;Это здание прекрасно вписывается в окружающий ландшафт.
Борть 76;4.6;3;5;1;Это здание прекрасно вписывается в окружающий ландшафт.
Гнездо 42;1.6;4;1;1;У этого здания отличная архитектура.
 Вилла 80;3.7;2;1;2;Это здание является примером функционального дизайна.
Тоннель 98;2.5;5;3;1;Это здание построено из стандартных строительных материалов.
Ресторан 93;5.0;5;3;2;Это здание построено из стандартных строительных материалов.
Кошара 23;1.9;4;1;4;Это здание построено из стандартных строительных материалов.
Дупло 60;2.3;4;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ламарий 52;3.9;4;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Торговый центр 53;2.0;4;4;1;Это здание является примером функционального дизайна.
Торговый центр 53;2.4;4;5;5;У этого здания отличная архитектура.
Котельная 21;4.4;3;2;3;У этого здания отличная архитектура.
Торговый центр 53;2.1;5;3;1;Это здание не имеет особых архитектурных особенностей.
Дупло 60;4.1;5;4;1;Это здание имеет стандартную конструкцию.
Котельная 21;2.7;2;1;5;Это великолепное здание!
Особняк 50;0.5;2;1;5;Это здание имеет стандартную конструкцию.
Улей 67;3.9;1;5;5;Это здание очень функционально.
Лестница 82;3.8;2;5;3;Это здание представляет собой типичный образец современной архитектуры.
Подвал 52;2.5;3;1;3;Это здание является примером функционального дизайна.
Лестница 82;4.2;1;4;2;Это здание построено из стандартных строительных материалов.
Верфь 8;4.6;5;3;3;Это здание имеет стандартную конструкцию.
Конюшня 84;4.2;2;5;2;Это здание является примером функционального дизайна.
Дупло 100;2.8;3;4;4;Это здание имеет стандартную конструкцию.
Стадион 80;2.5;4;1;4;Это здание представляет собой типичный образец современной архитектуры.
Ангар 74;1.2;4;5;2;Это здание является примером функционального дизайна.
Нора 38;4.0;4;1;4;Это здание является примером функционального дизайна.
Крольчатник 69;5.0;4;4;4;Это здание является примером функционального дизайна.
Котельная 21;0.1;1;2;3;У этого здания отличная архитектура.
Тоннель 98;4.5;2;4;1;Это здание имеет стандартную конструкцию.
Торговый центр 53;0.9;1;5;1;Это здание является примером функционального дизайна.
Ламарий 52;0.6;2;4;4;Это здание построено из стандартных строительных материалов.
Супермаркет 7;1.4;3;2;1;Это здание очень функционально.
Особняк 50;0.6;4;4;3;Это здание построено из стандартных строительных материалов.
Музей 93;1.3;4;2;3;Это здание является примером функционального дизайна.
Борть 76;4.7;2;3;5;Это здание является примером функционального дизайна.
Мост 68;2.1;4;1;5;Это здание построено из стандартных строительных материалов.
Борть 76;3.8;5;3;2;Это здание представляет собой типичный образец современной архитектуры.
 Вилла 80;0.4;1;3;5;Это великолепное здание!
Кубло 55;4.6;5;3;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Гнездо 42;2.7;5;4;3;У этого здания отличная архитектура.
Волчатник 12;2.1;5;3;5;Это здание построено из стандартных строительных материалов.
Музей 93;4.9;5;5;1;Это здание является примером функционального дизайна.
Ресторан 25;4.0;3;5;1;Мне нравится дизайн этого здания.
Котельная 8;4.0;5;3;2;Это великолепное здание!
Котельная 21;1.3;2;1;1;Это здание построено из стандартных строительных материалов.
Верфь 21;3.9;2;1;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Кошара 23;2.4;5;1;2;Это здание представляет собой типичный образец современной архитектуры.
Нора 2;1.0;4;4;4;Это великолепное здание!
Ферма 51;0.2;4;2;2;Это здание является примером функционального дизайна.
Плантация 78;1.6;3;5;1;Это здание является примером функционального дизайна.
Торговый центр 53;1.6;5;3;4;Это здание построено из стандартных строительных материалов.
Ресторан 25;2.9;2;1;1;Это здание представляет собой типичный образец современной архитектуры.
Кубло 55;3.2;3;5;3;Это здание имеет стандартную конструкцию.
Улей 67;0.8;1;2;1;Это здание представляет собой типичный образец современной архитектуры.
Улей 22;4.5;3;2;2;Это здание представляет собой типичный образец современной архитектуры.
Автомойка 15;1.8;5;3;1;Это здание построено из стандартных строительных материалов.
Ресторан 93;3.3;1;4;2;Это великолепное здание!
Дупло 60;1.2;5;1;1;Это здание очень функционально.
Ламарий 52;4.9;3;5;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Лестница 82;3.0;3;5;5;Это здание является примером функционального дизайна.
Нора 38;1.2;4;4;5;Это здание является примером функционального дизайна.
Улей 67;3.3;4;4;4;Мне нравится дизайн этого здания.
Ламарий 52;0.8;5;1;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Плантация 78;2.4;5;5;1;Это здание построено из стандартных строительных материалов.
Бункер 43;2.0;3;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Йодль 71;4.7;3;5;2;Это великолепное здание!
Нора 38;1.7;5;4;1;Это здание построено из стандартных строительных материалов.
Лежбище 18;0.1;1;4;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Осатаник 47;4.2;3;5;2;Мне нравится дизайн этого здания.
Стадион 80;0.6;5;2;1;Это здание построено из стандартных строительных материалов.
Кошара 23;1.7;3;4;1;Это здание не имеет особых архитектурных особенностей.
Ресторан 25;1.3;5;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Борть 76;3.4;4;2;2;Мне нравится дизайн этого здания.
Нора 38;1.5;3;5;4;Это здание имеет стандартную конструкцию.
Йодль 71;3.8;5;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Замок 37;4.4;2;5;5;Это здание не имеет особых архитектурных особенностей.
Музей 93;1.6;3;3;5;Мне нравится дизайн этого здания.
Подвал 87;2.3;3;4;2;У этого здания отличная архитектура.
Замок 37;4.5;5;2;3;Это здание не имеет особых архитектурных особенностей.
Гнездо 42;0.2;3;5;2;Это здание является примером функционального дизайна.
Осатаник 47;3.5;4;3;5;Это здание построено из стандартных строительных материалов.
Ферма 51;3.1;2;3;4;Это здание является примером функционального дизайна.
Подвал 87;1.1;5;5;2;Это здание является примером функционального дизайна.
Ресторан 25;0.2;5;1;5;Это здание не имеет особых архитектурных особенностей.
Ресторан 25;2.8;4;1;2;Это здание построено из стандартных строительных материалов.
Ферма 51;2.1;3;2;1;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Нора 2;4.1;5;4;1;Это здание не имеет особых архитектурных особенностей.
Стадион 80;1.5;5;5;1;Это здание имеет стандартную конструкцию.
Бункер 43;1.7;5;2;5;Это здание представляет собой типичный образец современной архитектуры.
 Вилла 80;0.7;5;2;2;Это здание имеет стандартную конструкцию.
Нора 2;1.3;2;4;4;Это здание очень функционально.
 Вилла 80;4.9;4;5;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Подвал 52;4.0;3;2;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Ангар 74;5.0;3;3;4;Это здание представляет собой типичный образец современной архитектуры.
Тоннель 98;3.9;1;3;4;Это здание является примером функционального дизайна.
Автомойка 15;2.7;5;5;4;Это великолепное здание!
Шале 14;1.2;1;4;1;Мне нравится дизайн этого здания.
Лежбище 18;3.6;4;2;1;Это здание имеет стандартную конструкцию.
Кубло 55;0.2;2;2;3;Это здание не имеет особых архитектурных особенностей.
Подвал 52;0.6;4;4;3;Это здание представляет собой типичный образец современной архитектуры.
Волчатник 12;4.0;4;3;4;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 25;4.7;5;3;1;У этого здания отличная архитектура.
Ламарий 52;0.2;4;3;4;Это здание представляет собой типичный образец современной архитектуры.
ТЭЦ 75;0.8;3;5;4;Это здание представляет собой типичный образец современной архитектуры.
Улей 67;0.4;3;3;2;Это здание не имеет особых архитектурных особенностей.
Йодль 71;3.2;5;2;2;Это здание имеет стандартную конструкцию.
Торговый центр 53;3.3;3;4;2;Это здание представляет собой типичный образец современной архитектуры.
Дупло 60;3.2;5;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Шале 14;0.1;1;3;4;Это здание имеет стандартную конструкцию.
Кубло 55;1.3;5;2;4;Это здание построено из стандартных строительных материалов.
Чердак 10;0.5;2;5;1;Это здание имеет стандартную конструкцию.
 Вилла 80;3.8;4;4;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Кошара 23;5.0;1;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Мост 68;3.5;5;2;5;Это здание построено из стандартных строительных материалов.
Осатаник 47;4.1;4;2;5;Это здание построено из стандартных строительных материалов.
Стадион 80;4.7;4;1;3;Это здание имеет стандартную конструкцию.
Плантация 78;0.7;3;4;5;Это здание прекрасно вписывается в окружающий ландшафт.
Нора 2;2.6;1;3;2;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
ТЭЦ 75;0.4;1;4;2;Это здание построено из стандартных строительных материалов.
Нора 38;0.2;4;3;2;Это здание построено из стандартных строительных материалов.
Тоннель 98;0.3;1;2;2;Это великолепное здание!
Котельная 8;4.0;1;5;5;У этого здания отличная архитектура.
Дупло 100;4.3;1;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Лестница 22;1.1;1;5;4;Это здание представляет собой типичный образец современной архитектуры.
Борть 76;3.2;5;5;2;Это великолепное здание!
Подвал 52;1.7;1;3;2;Это здание является примером функционального дизайна.
Лестница 82;4.5;3;1;1;Это здание не имеет особых архитектурных особенностей.
Автомойка 19;3.7;2;4;1;Это здание очень функционально.
Подвал 87;1.2;5;5;3;Это здание представляет собой типичный образец современной архитектуры.
Подвал 87;0.3;4;4;3;Это здание представляет собой типичный образец современной архитектуры.
Конюшня 84;3.6;4;5;5;У этого здания отличная архитектура.
Осатаник 47;3.4;1;4;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Мост 68;4.0;2;2;2;Это здание прекрасно вписывается в окружающий ландшафт.
Дупло 60;0.6;2;3;5;Это здание построено из стандартных строительных материалов.
Особняк 50;4.2;3;1;3;Это здание очень функционально.
Лестница 82;0.1;2;5;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Торговый центр 53;4.0;5;5;4;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Усадьба 38;1.4;2;4;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
 Вилла 80;2.7;3;4;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Замок 37;1.4;2;3;3;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 93;0.5;4;2;5;Это великолепное здание!
Автомойка 19;1.1;3;5;5;Это здание представляет собой типичный образец современной архитектуры.
Торговый центр 38;1.0;3;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
 Вилла 80;4.0;3;3;2;Это здание представляет собой типичный образец современной архитектуры.
Бомбоубежище 32;1.2;1;3;5;Это здание является примером функционального дизайна.
Тоннель 98;4.8;3;1;1;Это здание представляет собой типичный образец современной архитектуры.
 Вилла 80;3.3;5;5;3;Это здание очень функционально.
Аэропорт 32;4.3;3;5;1;Это здание построено из стандартных строительных материалов.
Нора 65;4.8;1;2;5;Это здание представляет собой типичный образец современной архитектуры.
Замок 98;2.2;4;2;5;Это здание очень функционально.
Особняк 50;0.1;4;4;5;Мне нравится дизайн этого здания.
Торговый центр 53;3.5;4;4;2;Это здание имеет стандартную конструкцию.
Берлога 55;3.3;4;4;2;Мне нравится дизайн этого здания.
Кубло 55;4.7;3;5;5;У этого здания отличная архитектура.
Мост 68;3.6;3;2;5;Это здание имеет стандартную конструкцию.
Улей 22;4.6;5;4;5;Это здание является примером функционального дизайна.
Подвал 87;0.9;4;5;5;Это здание не имеет особых архитектурных особенностей.
Борть 76;0.7;1;1;2;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Музей 93;1.3;4;3;3;Это великолепное здание!
Стадион 80;0.6;1;3;5;Это здание построено из стандартных строительных материалов.
Замок 98;1.4;3;1;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Дупло 100;4.3;5;2;1;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Нора 65;2.9;5;5;3;Это великолепное здание!
Осатаник 47;4.8;3;4;1;Это здание является примером функционального дизайна.
Берлога 55;0.7;3;3;1;Это здание является примером функционального дизайна.
Замок 37;3.6;1;3;4;У этого здания отличная архитектура.
Дупло 100;3.3;4;2;1;Мне нравится дизайн этого здания.
Ламарий 52;4.9;3;1;4;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Усадьба 38;2.5;2;4;5;Это здание представляет собой типичный образец современной архитектуры.
Осатаник 47;3.2;4;2;4;Это здание является примером функционального дизайна.
Волчатник 12;4.3;4;3;5;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Борть 76;1.4;3;1;5;Это здание имеет стандартную конструкцию.
Улей 67;1.5;1;1;4;Это здание представляет собой типичный образец современной архитектуры.
 Вилла 80;3.5;2;4;1;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Кубло 55;4.5;5;1;5;Это здание прекрасно вписывается в окружающий ландшафт.
Музей 93;2.3;3;3;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Улей 22;1.2;5;4;4;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
Лестница 82;2.3;2;1;4;Это здание имеет стандартную конструкцию.
Ресторан 25;2.3;4;4;1;Мне нравится дизайн этого здания.
Торговый центр 38;2.6;1;3;5;Это здание является примером функционального дизайна.
Бомбоубежище 32;1.0;3;2;4;У этого здания отличная архитектура.
Автомойка 19;1.5;2;3;2;Это здание не имеет особых архитектурных особенностей.
Замок 37;3.6;3;3;3;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Котельная 21;0.4;2;5;1;Это здание очень функционально.
Шале 14;4.4;4;3;3;Это здание прекрасно вписывается в окружающий ландшафт.
Лестница 22;2.6;3;4;3;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Улей 22;3.7;1;3;3;Это здание представляет собой типичный образец современной архитектуры.
Тоннель 98;3.5;4;1;1;Это здание построено из стандартных строительных материалов.
Замок 98;0.8;3;3;4;Мне нравится дизайн этого здания.
Чердак 10;4.0;5;4;5;Это здание не имеет особых архитектурных особенностей.
Котельная 8;4.4;3;5;5;Это здание имеет стандартную конструкцию.
Улей 22;3.3;3;2;4;Это здание прекрасно вписывается в окружающий ландшафт.
Аэропорт 32;4.2;5;3;5;Это здание не имеет особых архитектурных особенностей.
Торговый центр 53;2.2;1;5;3;Это здание представляет собой типичный образец современной архитектуры.
Музей 93;1.3;5;5;2;Это здание не имеет особых архитектурных особенностей.
Конюшня 84;0.7;3;1;3;Это здание построено из стандартных строительных материалов.
Дупло 60;0.8;3;2;4;Это здание является примером функционального дизайна.
Ламарий 52;2.4;2;1;4;Это здание не имеет особых архитектурных особенностей.
Верфь 8;4.9;3;1;3;Это здание прекрасно вписывается в окружающий ландшафт.
Нора 65;2.6;3;3;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Дупло 100;4.3;5;2;4;Это здание очень функционально.
Дупло 100;2.9;4;2;5;Это здание находится в хорошем состоянии и не требует значительных ремонтных работ.
Особняк 50;3.8;4;3;2;Это здание имеет стандартную конструкцию.
Улей 67;0.4;1;2;2;Это здание подходит для различных видов использования, таких как жилые комплексы, офисные здания или торговые центры.
Торговый центр 38;3.0;3;5;1;Это здание представляет собой типичный образец современной архитектуры.
 Вилла 80;4.9;4;5;4;Это здание представляет собой типичный образец современной архитектуры.
Ресторан 25;2.1;5;5;5;Это здание не имеет особых архитектурных особенностей.
Нора 2;2.8;1;3;3;Это здание представляет собой типичный образец современной архитектуры.
Стадион 80;3.2;5;5;5;Это здание является примером функционального дизайна.
Автомойка 15;1.5;5;3;2;Это здание имеет стандартную конструкцию.
Подвал 52;4.3;4;4;2;Мне нравится дизайн этого здания.
ТЭЦ 75;4.5;4;5;1;Это здание является примером функционального дизайна.
 Вилла 80;0.9;5;3;2;Это здание не имеет особых архитектурных особенностей.
Музей 93;3.2;5;2;1;Это здание является примером функционального дизайна.
Котельная 8;4.6;1;1;5;Это здание очень функционально.
Нора 65;1.7;4;5;3;Это здание расположено в удобном месте, рядом с транспортными магистралями и инфраструктурой.
